Answer.sentence|Answer.Fact.fact|Answer.factSource|Answer.aiName|Answer.interest|Answer.is_fact.fact|Answer.is_myth.myth
Blood is actually blue|False|['https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.', 'https://www.wtamu.edu/~cbaird/sq/2012/12/18/why-are-veins-blue/#:~:text=Blood%20is%20always%20red.,dark%20red%20and%20not%20blue.']||61.27777777777778|[False, False, True, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False]|[True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True]
Blood is red in color|True|['https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171', 'https://www.medicalnewstoday.com/articles/318171']|This example is not a myth because I used my own knowledge and education to write the sentence and then I confirmed it with a source.|53.1|[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]|[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]
CRISPR allows scientists to edit DNA of living species.|True|['https://www.genome.gov/genetics-glossary/CRISPR#:~:text=CRISPR%20(short%20for%20%E2%80%9Cclustered%20regularly,editing%20systems%20found%20in%20bacteria.']|||[]|[]
Can playing video games damage your eyes?|False|['https://www.ophthalmology24.com/can-gaming-affect-your-eyes#:~:text=A%20common%20misconception%20is%20gaming,irreversible%20eye%20damage%20is%20wrong.']|No this was not generated by AI||[]|[]
Carbs are bad for you and should be avoided|False|[]|chatgpt|60.68421052631579|[False, False, False, False, False, False, True, False, False, True, False, False, False, False, True, False, False, False, False]|[True, True, True, True, True, True, False, True, True, False, True, True, True, True, False, True, True, True, True]
Cat has nine lives|False|['old saying']|Not AI generated||[]|[]
Certain particles cannot have a speed and a location at the same time.|False|[]||75.45|[True, True, True, False, True, True, True, False, True, True, True, True, True, False, True, True, True, False, True, True]|[False, False, False, True, False, False, False, True, False, False, False, False, False, True, False, False, False, True, False, False]
ChatGPT 3.5 was launched in April 2018.|False|[]|||[]|[]
China is the largest producer of silicone wafers.|True|['International Energy Agency']|||[]|[]
Climate Change is not real|False|[]||59.78947368421053|[False, False, False, True, True, True, False, False, True, False, False, False, False, False, False, True, True, False, False]|[True, True, True, False, False, False, True, True, False, True, True, True, True, True, True, False, False, True, True]
Climate change is a natural cycle and not influenced by human activity|False|[]|chatpgt||[]|[]
Climate change is caused solely by natural factors and has nothing to do with human activities.|False|['https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.', 'https://www.epa.gov/climatechange-science/causes-climate-change#:~:text=Climate%20change-,Climate%20change%20refers%20to%20long%2Dterm%20shifts%20in%20temperatures%20and,like%20coal%2C%20oil%20and%20gas.']|ChatGPT|59.6|[False, False, False, True, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, True]|[True, True, True, False, True, True, True, True, True, True, True, False, False, True, True, True, True, True, True, False]
Climate change is not human caused.|False|[]|||[]|[]
Cold weather can make you sick|False|['hopkinsmedicine.org/health']|none||[]|[]
Cold weather can make you sick.|False|['https://news.uthscsa.edu/are-these-common-beliefs-myths-or-facts/']|none||[]|[]
Consuming food before sleep gives you bad dreams|False|['https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346', 'https://restonic.com/es/blog-es/eating-bed-nightmares-2346']|It was not AI generated|48.05263157894737|[True, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False]|[False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, False, True, True]
Crypto became the most popular form of financial transaction by 2012.|False|[]|||[]|[]
Cryptocurrency relies on the blockchain.|True|['https://www.pwc.com/us/en/industries/financial-services/fintech/bitcoin-blockchain-cryptocurrency.html']|||[]|[]
Cryptocurrency transactions are completely anonymous and untraceable|False|[]|ChatGPT|59.85|[False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, False]|[True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, False, False, True, True]
Cryptocurrency transactions are completely anonymous and untraceable.|False|[]|ChatGPT||[]|[]
Deforestation is a leading cause of habitat loss for endangered species.|True|['https://www.worldwildlife.org/threats/deforestation-and-forest-degradation']|||[]|[]
Drinking coffee dehydrates you.|False|['National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).', 'National Institutes of Health (NIH) or Mayo Clinic (studies suggest moderate coffee consumption does not significantly dehydrate you).']||64.63157894736842|[True, True, False, False, False, False, True, False, False, False, False, False, True, False, True, False, False, False, True]|[False, False, True, True, True, True, False, True, True, True, True, True, False, True, False, True, True, True, False]
Drinking cold water can cause your body to freeze|False|['Medical and health websites like Mayo Clinic and WebMD confirm that drinking cold water does not cause the body to freeze or result in any dangerous physical reaction.']|||[]|[]
Drinking eight glasses of water a day is essential for everyone to stay hydrated.|False|[]|ChatGPT|54.55|[True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, True, False, True, False, False]|[False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True]
Drinking eight glasses of water a day is essential for good health.|True|['National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.', 'National Institutes of Health (NIH) study on hydration.']|ChatGPT|55.578947368421055|[True, False, False, True, False, True, True, True, False, False, False, True, False, True, False, False, False, True, True]|[False, True, True, False, True, False, False, False, True, True, True, False, True, False, True, True, True, False, False]
Drinking eight glasses of water a day is essential for good health.|False|"['The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration', 'The Mayo Clinic"" or a link like Mayo Clinic on hydration']"|N/A (if it wasn't AI-generated)|50.473684210526315|[False, False, False, True, True, False, True, False, False, True, False, False, False, False, False, False, True, True, False]|[True, True, True, False, False, True, False, True, True, False, True, True, True, True, True, True, False, False, True]
Drinking eight glasses of water a day is necessary for everyone to stay healthy|False|['university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center', 'university of rochester medical center']|chatgpt|58.1|[False, True, False, False, False, False, False, True, False, True, False, False, True, True, False, True, False, True, False, False]|[True, False, True, True, True, True, True, False, True, False, True, True, False, False, True, False, True, False, True, True]
Drinking water can help improve concentration.|True|['http://www.ncbi.nlm.nih.gov/']|Not applicable (It's a fact).||[]|[]
